want_ea_newsletter,which_year_EA,donate_2017_c
NA,2013,NA
"Yes, sign me up",2015,NA
I already receive the newsletter,2014,NA
"Yes, sign me up",2017,300
"No, I would not like to receive the newsletter",2011,3300
I already receive the newsletter,2016,20
"No, I would not like to receive the newsletter",2018,1000
"Yes, sign me up",2009 or before,7227.54
I already receive the newsletter,2015,36000
I already receive the newsletter,2016,739.62
I already receive the newsletter,2017,591.69
"Yes, sign me up",2017,NA
"Yes, sign me up",2017,NA
"Yes, sign me up",I don't remember,200
I already receive the newsletter,2015,5100000
I already receive the newsletter,2016,NA
"Yes, sign me up",2016,NA
NA,2013,153.68
I already receive the newsletter,2014,1573.66
"No, I would not like to receive the newsletter",2018,0
I already receive the newsletter,2016,15000
I already receive the newsletter,2016,2305.26
"Yes, sign me up",2011,NA
"Yes, sign me up",2017,390.09
NA,2009 or before,0
I already receive the newsletter,2012,7396.17
I already receive the newsletter,2017,739.62
"Yes, sign me up",2017,2440.74
"Yes, sign me up",2017,0
I already receive the newsletter,2016,390.09
"No, I would not like to receive the newsletter",2016,14792.35
I already receive the newsletter,2016,15000
I already receive the newsletter,2017,115.62
I already receive the newsletter,2016,65.02
"Yes, sign me up",2017,2312.45
"No, I would not like to receive the newsletter",2016,32507.65
NA,2012,0
NA,2014,NA
"Yes, sign me up",2015,NA
I already receive the newsletter,2018,NA
I already receive the newsletter,2014,NA
"Yes, sign me up",2018,0
NA,2017,NA
"Yes, sign me up",2015,3846.01
NA,2018,NA
I already receive the newsletter,2013,18000
"No, I would not like to receive the newsletter",2014,NA
"Yes, sign me up",2017,59.17
NA,2017,NA
I already receive the newsletter,2013,887.54
"Yes, sign me up",2012,153.68
"Yes, sign me up",2012,384.21
"No, I would not like to receive the newsletter",2013,0
"No, I would not like to receive the newsletter",2017,NA
"No, I would not like to receive the newsletter",I don't remember,2218.85
I already receive the newsletter,2013,739.62
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,I don't remember,1479.23
"No, I would not like to receive the newsletter",2017,73.96
"No, I would not like to receive the newsletter",2018,147.92
I already receive the newsletter,2016,3698.09
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2013,455107.1
I already receive the newsletter,2014,369.81
I already receive the newsletter,2015,739.62
I already receive the newsletter,2009 or before,76.84
I already receive the newsletter,2017,353.47
I already receive the newsletter,2015,1040.24
I already receive the newsletter,2017,2305.26
"No, I would not like to receive the newsletter",2016,1156.22
NA,2018,10000
I already receive the newsletter,2016,224.19
"No, I would not like to receive the newsletter",2017,67.45
"Yes, sign me up",2009 or before,8984
NA,2017,NA
I already receive the newsletter,2016,2081.2
"Yes, sign me up",2016,76.84
I already receive the newsletter,2017,4437.7
I already receive the newsletter,2014,1250
NA,2017,NA
"Yes, sign me up",2018,346.87
I already receive the newsletter,2013,NA
NA,2016,2000
I already receive the newsletter,2015,76.84
I already receive the newsletter,2015,5000
I already receive the newsletter,2018,1700
I already receive the newsletter,2016,780.18
I already receive the newsletter,2014,3900.92
I already receive the newsletter,2017,2081.2
I already receive the newsletter,2009 or before,6501.53
"No, I would not like to receive the newsletter",2009 or before,0
I already receive the newsletter,2009 or before,0
NA,I don't remember,NA
I already receive the newsletter,2016,50000
I already receive the newsletter,2015,13000
NA,2017,NA
NA,2016,NA
I already receive the newsletter,2017,100
"No, I would not like to receive the newsletter",2017,2500
I already receive the newsletter,2018,0
I already receive the newsletter,2016,29
I already receive the newsletter,2013,45000
"No, I would not like to receive the newsletter",2013,9400
NA,2014,0
I already receive the newsletter,2014,2254.63
NA,2015,NA
NA,2016,600
I already receive the newsletter,I don't remember,37000
"Yes, sign me up",2017,404.68
NA,2015,NA
I already receive the newsletter,2015,2600.61
I already receive the newsletter,2015,824.26
NA,2017,NA
I already receive the newsletter,2015,2312.45
I already receive the newsletter,2015,9249.78
"Yes, sign me up",2017,277.49
I already receive the newsletter,I don't remember,22188.52
"No, I would not like to receive the newsletter",2016,173.43
I already receive the newsletter,2016,120
"Yes, sign me up",2018,138.75
NA,2015,NA
NA,2017,NA
"No, I would not like to receive the newsletter",2016,200
I already receive the newsletter,2017,0
NA,2016,NA
"No, I would not like to receive the newsletter",2017,2218.85
NA,2017,NA
NA,2011,NA
I already receive the newsletter,2016,500
NA,2017,NA
"Yes, sign me up",2013,NA
I already receive the newsletter,2016,6000
I already receive the newsletter,2017,450.52
"Yes, sign me up",2015,11060.38
I already receive the newsletter,2014,1820.43
"Yes, sign me up",I don't remember,NA
"Yes, sign me up",2017,346.87
I already receive the newsletter,2015,537.89
NA,2015,NA
"No, I would not like to receive the newsletter",2015,32.51
NA,2016,NA
I already receive the newsletter,2016,200
I already receive the newsletter,2013,8000
I already receive the newsletter,2017,1156.22
"No, I would not like to receive the newsletter",2016,900
I already receive the newsletter,2016,NA
I already receive the newsletter,2015,10000
I already receive the newsletter,2015,2500
"Yes, sign me up",2017,0
NA,2009 or before,NA
I already receive the newsletter,2013,1759.61
NA,2017,NA
I already receive the newsletter,2016,57.81
NA,2012,NA
I already receive the newsletter,2016,971.23
NA,2017,1618.71
I already receive the newsletter,2014,0
I already receive the newsletter,2015,0
I already receive the newsletter,2016,2543.69
I already receive the newsletter,2016,0
I already receive the newsletter,2015,650.15
I already receive the newsletter,2016,5000
NA,2017,1156.22
I already receive the newsletter,2015,115.62
I already receive the newsletter,2015,900
"No, I would not like to receive the newsletter",2017,10
I already receive the newsletter,2017,15000
I already receive the newsletter,2017,200
NA,2014,6434.67
"Yes, sign me up",2013,NA
NA,I don't remember,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2018,369.81
NA,2010,NA
I already receive the newsletter,2013,346.87
I already receive the newsletter,2017,1351.56
"Yes, sign me up",2016,NA
NA,2014,NA
I already receive the newsletter,2018,0
I already receive the newsletter,2014,2600.61
I already receive the newsletter,2017,2600.61
NA,2015,NA
I already receive the newsletter,2017,156.04
I already receive the newsletter,2016,425000
NA,2016,NA
"No, I would not like to receive the newsletter",2016,50.27
I already receive the newsletter,2017,2000
"Yes, sign me up",2017,NA
I already receive the newsletter,2016,2000
I already receive the newsletter,2016,12500
I already receive the newsletter,2015,34.69
I already receive the newsletter,2017,416.24
I already receive the newsletter,2012,100
I already receive the newsletter,2017,2774.94
I already receive the newsletter,2012,5201.22
NA,2009 or before,NA
NA,2016,1300.31
NA,2017,NA
NA,2017,520772.56
I already receive the newsletter,2016,NA
NA,2012,NA
I already receive the newsletter,2017,1387.47
NA,2013,1351.56
I already receive the newsletter,2012,3900.92
I already receive the newsletter,2012,0
I already receive the newsletter,2017,1120.97
I already receive the newsletter,2017,80.94
I already receive the newsletter,2018,NA
I already receive the newsletter,2015,10
NA,2013,3468.67
NA,NA,NA
I already receive the newsletter,2015,1681.46
"No, I would not like to receive the newsletter",2016,7263.06
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,7868.31
I already receive the newsletter,2016,231.24
NA,2014,0
NA,2017,130.03
"Yes, sign me up",2014,0
NA,2016,650.15
"Yes, sign me up",I don't remember,1500
NA,2016,NA
I already receive the newsletter,2014,NA
I already receive the newsletter,2015,0
NA,2015,NA
NA,2015,NA
NA,2016,1300.31
I already receive the newsletter,2016,363.15
I already receive the newsletter,2012,10000
NA,2018,NA
"No, I would not like to receive the newsletter",2018,NA
NA,2014,NA
I already receive the newsletter,2018,2000
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,0
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,1210.51
NA,2015,0
"Yes, sign me up",2016,731.69
I already receive the newsletter,2013,NA
NA,2016,115.62
I already receive the newsletter,2017,369.81
"Yes, sign me up",2017,5000
I already receive the newsletter,2011,0
I already receive the newsletter,2011,80000
I already receive the newsletter,2017,1000
NA,2015,804.39
I already receive the newsletter,2017,100
NA,2018,NA
NA,2018,NA
"Yes, sign me up",2015,73.96
I already receive the newsletter,2016,27000
"No, I would not like to receive the newsletter",I don't remember,NA
NA,2017,NA
I already receive the newsletter,2016,325.08
I already receive the newsletter,2016,200
NA,2015,NA
NA,2016,NA
"Yes, sign me up",2017,502.74
I already receive the newsletter,2017,138.75
NA,2015,NA
I already receive the newsletter,2014,7411.74
"Yes, sign me up",2016,3900.92
I already receive the newsletter,2015,115.62
"Yes, sign me up",2018,5201.22
I already receive the newsletter,2014,1052.23
I already receive the newsletter,2016,780.18
I already receive the newsletter,2013,8500
I already receive the newsletter,2017,100
I already receive the newsletter,2015,578.11
"Yes, sign me up",2012,130000
I already receive the newsletter,I don't remember,3000
I already receive the newsletter,2011,2555.25
I already receive the newsletter,2016,0
I already receive the newsletter,2018,373.19
I already receive the newsletter,2015,346.87
I already receive the newsletter,2017,500
I already receive the newsletter,2014,0
I already receive the newsletter,2015,768.42
I already receive the newsletter,2009 or before,4500
I already receive the newsletter,2012,1953.67
I already receive the newsletter,2012,5347480
I already receive the newsletter,2014,3120.73
I already receive the newsletter,2017,NA
NA,2016,NA
I already receive the newsletter,2013,19828.37
I already receive the newsletter,2014,90.1
I already receive the newsletter,2015,605.25
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,3237.42
NA,2017,382.29
I already receive the newsletter,2016,34.69
NA,2018,NA
I already receive the newsletter,2018,0
I already receive the newsletter,2017,0
I already receive the newsletter,2016,1156.22
I already receive the newsletter,2015,1734.33
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,1734.33
I already receive the newsletter,2016,7801.84
NA,2015,NA
I already receive the newsletter,2017,104.06
"Yes, sign me up",2018,0
I already receive the newsletter,2016,484.2
I already receive the newsletter,2015,130.03
NA,2017,3250.77
I already receive the newsletter,2016,5781.11
NA,2011,25000
"Yes, sign me up",2018,5000
I already receive the newsletter,2015,346.87
NA,I don't remember,NA
NA,2017,578.11
I already receive the newsletter,2018,NA
I already receive the newsletter,2018,300
I already receive the newsletter,2017,9600
"No, I would not like to receive the newsletter",2017,36.58
I already receive the newsletter,2013,0
I already receive the newsletter,2018,1e+05
I already receive the newsletter,2017,90
I already receive the newsletter,2013,1000
NA,2015,NA
I already receive the newsletter,2017,369.81
NA,2017,200
I already receive the newsletter,2017,0
I already receive the newsletter,2015,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,5000
"No, I would not like to receive the newsletter",2016,30
I already receive the newsletter,2009 or before,1000
NA,2017,1479.23
I already receive the newsletter,I don't remember,100
I already receive the newsletter,2009 or before,22188.52
I already receive the newsletter,2016,4046.78
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,10201
I already receive the newsletter,2016,208.12
I already receive the newsletter,2017,26.01
"No, I would not like to receive the newsletter",I don't remember,9100
NA,2015,6000
I already receive the newsletter,2016,15000
NA,2017,1035.46
"Yes, sign me up",2017,578.11
I already receive the newsletter,2018,0
I already receive the newsletter,2017,1000
I already receive the newsletter,2016,200
I already receive the newsletter,2016,2500
I already receive the newsletter,2015,NA
I already receive the newsletter,I don't remember,130.03
"No, I would not like to receive the newsletter",2017,NA
"No, I would not like to receive the newsletter",2013,NA
I already receive the newsletter,2016,351.08
"No, I would not like to receive the newsletter",2016,3000
I already receive the newsletter,2015,1849.96
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2016,14000
I already receive the newsletter,2016,450
I already receive the newsletter,2015,384.21
I already receive the newsletter,2015,0
NA,2016,NA
NA,2017,NA
I already receive the newsletter,2011,10054.89
I already receive the newsletter,2016,500
I already receive the newsletter,I don't remember,800
I already receive the newsletter,2015,2544157
I already receive the newsletter,I don't remember,400
NA,2017,NA
I already receive the newsletter,2016,260.91
I already receive the newsletter,2016,2000
NA,2013,6359.23
I already receive the newsletter,2016,1734.33
I already receive the newsletter,2009 or before,1300.31
I already receive the newsletter,2016,2800
I already receive the newsletter,2015,400
NA,2015,6937.34
NA,2015,200
NA,2012,231.24
I already receive the newsletter,2017,346.87
I already receive the newsletter,I don't remember,346.87
NA,2017,NA
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2017,0
NA,2016,NA
I already receive the newsletter,2013,43700
NA,2015,NA
NA,2017,NA
I already receive the newsletter,2016,2600.61
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,2312.45
I already receive the newsletter,2016,260.06
"Yes, sign me up",2010,NA
I already receive the newsletter,2016,195.05
I already receive the newsletter,2017,0
NA,2018,4000
I already receive the newsletter,2017,NA
I already receive the newsletter,2017,0
NA,2015,NA
I already receive the newsletter,2017,578.11
I already receive the newsletter,2012,0
I already receive the newsletter,2015,1560.37
I already receive the newsletter,2018,NA
I already receive the newsletter,2016,32.51
NA,2015,NA
I already receive the newsletter,2017,NA
NA,2016,5851.38
I already receive the newsletter,2015,3289.45
I already receive the newsletter,2016,0
I already receive the newsletter,2015,5201.22
I already receive the newsletter,2013,0
I already receive the newsletter,2009 or before,20000
I already receive the newsletter,2017,60.12
I already receive the newsletter,2017,145.95
NA,2014,NA
I already receive the newsletter,2013,291.91
I already receive the newsletter,2018,520.12
I already receive the newsletter,I don't remember,346.87
I already receive the newsletter,2016,578.11
I already receive the newsletter,2017,614.35
I already receive the newsletter,2013,1734.33
I already receive the newsletter,2016,2081.2
I already receive the newsletter,2017,156.04
"Yes, sign me up",2015,5591.32
"Yes, sign me up",2015,130.03
I already receive the newsletter,I don't remember,50
I already receive the newsletter,2018,156.04
NA,2017,NA
"Yes, sign me up",I don't remember,NA
"Yes, sign me up",2018,0
I already receive the newsletter,2017,NA
I already receive the newsletter,2009 or before,867.17
I already receive the newsletter,2014,3900.92
NA,2011,115.62
I already receive the newsletter,2016,3500
NA,2012,NA
"Yes, sign me up",2017,200
I already receive the newsletter,2017,115.62
I already receive the newsletter,2014,1156.22
I already receive the newsletter,2017,NA
I already receive the newsletter,2018,346.87
I already receive the newsletter,2016,578.11
I already receive the newsletter,2012,NA
I already receive the newsletter,2014,115.62
I already receive the newsletter,2013,1200
I already receive the newsletter,2016,0
I already receive the newsletter,2012,2600.61
NA,2015,NA
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,I don't remember,NA
NA,2016,NA
NA,2018,11562.23
NA,2009 or before,NA
I already receive the newsletter,2016,115.62
I already receive the newsletter,2013,0
I already receive the newsletter,2015,9102.14
I already receive the newsletter,2018,115.62
NA,2016,NA
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,2000
NA,2018,NA
I already receive the newsletter,2018,NA
I already receive the newsletter,2012,6535.68
I already receive the newsletter,2009 or before,NA
I already receive the newsletter,2017,2958.47
I already receive the newsletter,2015,3698.09
"Yes, sign me up",2015,100
I already receive the newsletter,2018,406.79
"Yes, sign me up",2013,7085
I already receive the newsletter,2016,30
"Yes, sign me up",2009 or before,1536.84
I already receive the newsletter,2017,200
I already receive the newsletter,I don't remember,1e+05
I already receive the newsletter,2016,369.81
I already receive the newsletter,I don't remember,NA
NA,2016,NA
NA,2014,0
"Yes, sign me up",2017,4215.82
I already receive the newsletter,2017,73.17
NA,2014,NA
NA,2014,NA
I already receive the newsletter,2018,1479.23
I already receive the newsletter,2013,4000
"Yes, sign me up",2011,200
I already receive the newsletter,2012,488.15
I already receive the newsletter,2017,NA
NA,I don't remember,NA
I already receive the newsletter,2018,2
NA,2017,312.07
NA,2017,600
NA,2013,187
I already receive the newsletter,2013,258.87
I already receive the newsletter,2018,100
I already receive the newsletter,2015,39.01
NA,2016,NA
"Yes, sign me up",2016,200
I already receive the newsletter,2013,5000
NA,2017,NA
I already receive the newsletter,2017,230.53
I already receive the newsletter,I don't remember,0
"Yes, sign me up",2018,10000
I already receive the newsletter,2017,8000
I already receive the newsletter,2017,0
I already receive the newsletter,2017,20000
I already receive the newsletter,2016,250
I already receive the newsletter,2017,200
I already receive the newsletter,2016,3073.68
NA,2014,7292
I already receive the newsletter,2018,0
I already receive the newsletter,2017,NA
NA,2017,NA
NA,2016,NA
"Yes, sign me up",2016,NA
I already receive the newsletter,2015,221.89
I already receive the newsletter,2016,100
I already receive the newsletter,2016,NA
I already receive the newsletter,2016,100
NA,2014,NA
NA,2015,NA
I already receive the newsletter,2010,NA
I already receive the newsletter,2011,12000
I already receive the newsletter,2013,6
NA,2018,9249.78
I already receive the newsletter,2018,NA
I already receive the newsletter,2015,900
I already receive the newsletter,2009 or before,260.06
NA,2016,NA
NA,2011,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,1200
"Yes, sign me up",2018,300
I already receive the newsletter,2016,289.06
I already receive the newsletter,2016,0
I already receive the newsletter,2017,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,2000
I already receive the newsletter,2017,500
"Yes, sign me up",2015,117000
I already receive the newsletter,2018,NA
I already receive the newsletter,2012,6000
I already receive the newsletter,I don't remember,NA
I already receive the newsletter,2013,4000
I already receive the newsletter,2016,3250.77
I already receive the newsletter,2015,600
I already receive the newsletter,2017,0
I already receive the newsletter,2015,1690.4
I already receive the newsletter,2015,NA
I already receive the newsletter,2018,20
NA,2010,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2017,0
I already receive the newsletter,2017,NA
NA,2016,167500
NA,2010,10000
I already receive the newsletter,2014,400
I already receive the newsletter,2016,2640
NA,2017,NA
I already receive the newsletter,2014,80000
I already receive the newsletter,2015,50
I already receive the newsletter,2013,300
I already receive the newsletter,2017,4046.78
NA,2017,NA
I already receive the newsletter,2013,1011.76
"Yes, sign me up",2016,600
"Yes, sign me up",2017,0
I already receive the newsletter,2017,13
NA,2017,NA
I already receive the newsletter,2016,0
I already receive the newsletter,2016,2600.61
NA,2018,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,1100
I already receive the newsletter,2016,2000
I already receive the newsletter,2015,650.15
NA,2018,NA
I already receive the newsletter,2015,600
NA,2018,NA
NA,2018,NA
NA,2018,500
NA,2016,NA
NA,2014,NA
I already receive the newsletter,2017,0
NA,2017,NA
"Yes, sign me up",I don't remember,585.14
I already receive the newsletter,2016,NA
NA,I don't remember,NA
I already receive the newsletter,2017,231.24
NA,2009 or before,NA
NA,2015,260.06
NA,2015,57.81
NA,2015,NA
I already receive the newsletter,2014,6501.53
I already receive the newsletter,2017,NA
"Yes, sign me up",2014,231.24
"Yes, sign me up",2017,0
I already receive the newsletter,2018,650.15
I already receive the newsletter,2017,0
"Yes, sign me up",2016,5201.22
I already receive the newsletter,2012,2255
NA,2017,NA
NA,2015,18400
NA,2016,800
NA,2016,NA
I already receive the newsletter,2016,1387.47
I already receive the newsletter,2017,100
NA,2012,2600.61
NA,2015,500
NA,2017,NA
I already receive the newsletter,2016,130.03
I already receive the newsletter,2018,1200
I already receive the newsletter,2017,173.43
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,250
"Yes, sign me up",2017,75
I already receive the newsletter,2015,10000
NA,2015,NA
NA,2017,5000
NA,2013,10000
I already receive the newsletter,2016,4049.89
I already receive the newsletter,2016,7801.84
I already receive the newsletter,2016,16814.61
I already receive the newsletter,2009 or before,500
I already receive the newsletter,2017,1950.46
"Yes, sign me up",2017,5201.22
I already receive the newsletter,2017,100
"No, I would not like to receive the newsletter",2016,240
NA,2017,NA
I already receive the newsletter,2015,10
NA,I don't remember,NA
I already receive the newsletter,2015,416.24
I already receive the newsletter,2015,400
I already receive the newsletter,2016,3000
"Yes, sign me up",2016,1600
I already receive the newsletter,2013,19.5
I already receive the newsletter,2011,6241.47
NA,NA,NA
I already receive the newsletter,2017,0
NA,2014,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2016,2500
I already receive the newsletter,2015,9500
I already receive the newsletter,2017,1000
I already receive the newsletter,2014,6501.53
I already receive the newsletter,2015,1000
NA,2015,NA
I already receive the newsletter,2017,0
I already receive the newsletter,2013,200
NA,NA,NA
I already receive the newsletter,2016,0
"Yes, sign me up",2017,600
I already receive the newsletter,2016,3900.92
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,10.41
I already receive the newsletter,2017,384.21
I already receive the newsletter,2016,18204.28
NA,2015,NA
"Yes, sign me up",2010,0
NA,2015,1481
NA,2016,78.02
NA,2014,NA
I already receive the newsletter,2013,7500
"Yes, sign me up",2016,NA
I already receive the newsletter,2018,NA
NA,I don't remember,NA
NA,2012,NA
I already receive the newsletter,2016,1313.58
I already receive the newsletter,2016,500
I already receive the newsletter,2017,1000
I already receive the newsletter,2017,NA
I already receive the newsletter,2017,624
NA,2010,NA
I already receive the newsletter,2014,12500
NA,2017,NA
I already receive the newsletter,2017,300
I already receive the newsletter,2017,0
I already receive the newsletter,2015,1100
I already receive the newsletter,2009 or before,25000
I already receive the newsletter,2016,1156.22
NA,2013,130.03
NA,2017,NA
