want_ea_newsletter,which_year_EA,donate_2017_c
I already receive the newsletter,2011,3250.77
"Yes, sign me up",2017,1000
I already receive the newsletter,2013,NA
"No, I would not like to receive the newsletter",2011,2312.45
"No, I would not like to receive the newsletter",I don't remember,NA
I already receive the newsletter,2015,2340.55
I already receive the newsletter,2016,1000
I already receive the newsletter,2017,0
NA,2016,NA
"No, I would not like to receive the newsletter",2009 or before,2500
I already receive the newsletter,2016,500
I already receive the newsletter,2009 or before,NA
I already receive the newsletter,2017,231.24
NA,2009 or before,3000
"No, I would not like to receive the newsletter",2017,NA
"Yes, sign me up",2017,0
NA,2009 or before,10000
I already receive the newsletter,2017,286.07
I already receive the newsletter,2013,8000
I already receive the newsletter,2015,30000
I already receive the newsletter,2017,0
"Yes, sign me up",2015,2312.45
NA,2013,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2018,NA
I already receive the newsletter,2015,28.91
I already receive the newsletter,2016,115.62
"No, I would not like to receive the newsletter",2017,1536.84
NA,2017,NA
NA,2017,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,416.24
I already receive the newsletter,2015,9400
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,544.04
"No, I would not like to receive the newsletter",2017,NA
I already receive the newsletter,2014,2500
I already receive the newsletter,2012,1000
I already receive the newsletter,2014,0
NA,2017,NA
"Yes, sign me up",I don't remember,250
NA,2015,NA
I already receive the newsletter,2015,402.2
I already receive the newsletter,2010,310.28
NA,NA,NA
I already receive the newsletter,2017,1326.31
NA,2017,0
"No, I would not like to receive the newsletter",2015,4624.89
NA,2013,1500
"Yes, sign me up",2016,NA
NA,2009 or before,NA
"Yes, sign me up",2017,115.62
"No, I would not like to receive the newsletter",2009 or before,50000
NA,2017,NA
I already receive the newsletter,2014,23000
NA,2016,NA
I already receive the newsletter,2016,1536.84
I already receive the newsletter,2016,0
I already receive the newsletter,2016,4.49
NA,2016,NA
I already receive the newsletter,2016,1545017
I already receive the newsletter,2015,65.02
"Yes, sign me up",2016,578.11
"No, I would not like to receive the newsletter",2015,6511.59
NA,2016,15000
I already receive the newsletter,2017,10
I already receive the newsletter,2014,50000
NA,2017,NA
"No, I would not like to receive the newsletter",2017,NA
NA,2016,134.52
"No, I would not like to receive the newsletter",I don't remember,NA
"Yes, sign me up",2018,346.87
I already receive the newsletter,2016,34.69
"Yes, sign me up",2017,672.58
I already receive the newsletter,2015,5916.94
I already receive the newsletter,2014,NA
I already receive the newsletter,2017,650.15
NA,2017,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2015,2000
NA,2015,130.03
NA,2015,NA
"Yes, sign me up",2015,1450
I already receive the newsletter,2016,39009.18
I already receive the newsletter,2015,1536.84
"No, I would not like to receive the newsletter",2016,6052.55
"No, I would not like to receive the newsletter",2011,0
"No, I would not like to receive the newsletter",2017,6000
NA,2015,NA
"Yes, sign me up",2012,6036732
NA,2010,NA
NA,2011,1536.84
I already receive the newsletter,2012,50
"No, I would not like to receive the newsletter",2015,600
"Yes, sign me up",2018,300
I already receive the newsletter,2011,NA
I already receive the newsletter,2014,0
I already receive the newsletter,2015,0
I already receive the newsletter,2016,12500
NA,2016,NA
"Yes, sign me up",2016,NA
I already receive the newsletter,2015,0
I already receive the newsletter,2016,600
"Yes, sign me up",2016,0
I already receive the newsletter,2015,904.94
I already receive the newsletter,2015,3000
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,312.07
NA,2013,NA
"Yes, sign me up",2017,6479.83
I already receive the newsletter,2016,500
"No, I would not like to receive the newsletter",2016,57.81
I already receive the newsletter,2016,115.62
I already receive the newsletter,2013,3900.92
I already receive the newsletter,2017,250
I already receive the newsletter,2017,90.49
I already receive the newsletter,2016,0
"Yes, sign me up",2016,NA
I already receive the newsletter,2011,32507.65
NA,2011,10402.45
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2017,76.84
I already receive the newsletter,2017,520.12
"No, I would not like to receive the newsletter",2012,35000
NA,2009 or before,NA
"Yes, sign me up",2017,0
"Yes, sign me up",2015,520.3
I already receive the newsletter,2014,1210.51
I already receive the newsletter,2012,0
I already receive the newsletter,2014,52099.42
I already receive the newsletter,2011,2958.47
NA,2016,39014381.46
"Yes, sign me up",2016,5203
NA,2015,NA
"No, I would not like to receive the newsletter",2016,46.25
"Yes, sign me up",2017,277.49
I already receive the newsletter,2014,2535.6
I already receive the newsletter,2016,1156.22
"No, I would not like to receive the newsletter",2012,0
"No, I would not like to receive the newsletter",2014,14792.35
I already receive the newsletter,2016,2730.64
I already receive the newsletter,2015,1300.31
"Yes, sign me up",2017,0
I already receive the newsletter,2010,231.24
I already receive the newsletter,2017,277.49
I already receive the newsletter,2016,0
I already receive the newsletter,2010,0
NA,I don't remember,NA
NA,2016,1479.23
NA,2016,153.68
"No, I would not like to receive the newsletter",2013,0
"Yes, sign me up",2014,372
I already receive the newsletter,2012,57.81
I already receive the newsletter,2015,600
"No, I would not like to receive the newsletter",2017,585.14
I already receive the newsletter,2014,6417.04
"Yes, sign me up",2015,NA
I already receive the newsletter,2013,NA
I already receive the newsletter,2015,0
"Yes, sign me up",2017,NA
I already receive the newsletter,2015,500
I already receive the newsletter,2017,350
I already receive the newsletter,2010,2305.26
I already receive the newsletter,2016,3380.8
NA,2015,130.03
I already receive the newsletter,2016,809.36
I already receive the newsletter,2017,38.42
"No, I would not like to receive the newsletter",2014,NA
I already receive the newsletter,2016,5027.45
I already receive the newsletter,2016,0
I already receive the newsletter,2016,NA
I already receive the newsletter,2014,3000
I already receive the newsletter,2013,1349.96
NA,2016,231.24
I already receive the newsletter,2017,1508.23
NA,2015,0
"No, I would not like to receive the newsletter",2017,86.72
I already receive the newsletter,2016,15030.9
I already receive the newsletter,2018,1005.49
"Yes, sign me up",2009 or before,2958.42
I already receive the newsletter,2015,832.2
"Yes, sign me up",2018,6.5
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2013,NA
"No, I would not like to receive the newsletter",2016,23.12
I already receive the newsletter,2012,6000
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,115.62
NA,2014,2000
"Yes, sign me up",2016,346.87
I already receive the newsletter,2013,1200
I already receive the newsletter,2015,0
I already receive the newsletter,2017,5000
"No, I would not like to receive the newsletter",2017,NA
NA,2015,0
I already receive the newsletter,2011,4551.07
I already receive the newsletter,2009 or before,585.14
I already receive the newsletter,2016,924.98
NA,2017,138.75
I already receive the newsletter,2016,1734.33
I already receive the newsletter,2014,20002016
NA,2014,0
I already receive the newsletter,2016,NA
NA,2017,NA
I already receive the newsletter,2013,721.55
I already receive the newsletter,2011,2600.61
NA,2017,156.04
I already receive the newsletter,2016,0
I already receive the newsletter,2017,346.87
I already receive the newsletter,2015,0
I already receive the newsletter,2010,25000
I already receive the newsletter,2015,355.02
NA,2017,NA
NA,2016,NA
I already receive the newsletter,2015,1156.22
NA,2017,924.98
I already receive the newsletter,2010,24673.31
NA,I don't remember,900
I already receive the newsletter,2014,1387.47
I already receive the newsletter,2016,462.49
I already receive the newsletter,2011,520.12
"Yes, sign me up",2012,5044.38
I already receive the newsletter,2015,185
I already receive the newsletter,2015,36.98
I already receive the newsletter,2017,150.31
I already receive the newsletter,2014,130.03
I already receive the newsletter,2016,69.37
I already receive the newsletter,2016,0
I already receive the newsletter,2014,NA
NA,2009 or before,NA
"No, I would not like to receive the newsletter",2011,554.71
I already receive the newsletter,2013,6745.09
NA,2009 or before,6000
I already receive the newsletter,2012,2910
NA,2017,2500
NA,2012,215.99
"No, I would not like to receive the newsletter",2013,200
I already receive the newsletter,2014,5000
I already receive the newsletter,2016,337.25
I already receive the newsletter,2015,14665
I already receive the newsletter,2017,443.77
NA,2016,0
I already receive the newsletter,2013,1300.31
I already receive the newsletter,2016,60000
I already receive the newsletter,2015,1300.31
I already receive the newsletter,2015,0
"No, I would not like to receive the newsletter",2017,6000
I already receive the newsletter,2015,1818997.91
I already receive the newsletter,2017,0
I already receive the newsletter,2014,1011.76
I already receive the newsletter,2014,3900.92
NA,2015,NA
"No, I would not like to receive the newsletter",2014,7000
NA,2016,0
"Yes, sign me up",2017,NA
NA,2017,NA
NA,2015,NA
NA,2013,NA
I already receive the newsletter,2016,NA
NA,2009 or before,NA
"Yes, sign me up",2017,500
NA,2010,5000
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,22000
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2012,7000
I already receive the newsletter,2015,135
I already receive the newsletter,2009 or before,0
I already receive the newsletter,2015,176.9
I already receive the newsletter,2016,NA
NA,2017,NA
"Yes, sign me up",2018,NA
I already receive the newsletter,2013,2227.34
I already receive the newsletter,2013,8000
"Yes, sign me up",2018,100
"No, I would not like to receive the newsletter",I don't remember,400
"No, I would not like to receive the newsletter",2016,75
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2014,153.68
I already receive the newsletter,2017,346.87
I already receive the newsletter,2016,739.62
I already receive the newsletter,2017,60
I already receive the newsletter,2015,3536.89
I already receive the newsletter,2012,1560.37
I already receive the newsletter,2016,12000
"No, I would not like to receive the newsletter",2011,500
I already receive the newsletter,2016,900
I already receive the newsletter,2012,346.87
"No, I would not like to receive the newsletter",I don't remember,50000
NA,2016,0
NA,2016,NA
NA,2016,NA
I already receive the newsletter,2013,50
NA,2014,NA
I already receive the newsletter,2014,173.43
I already receive the newsletter,2014,500
I already receive the newsletter,2015,3698.09
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,1445.28
NA,2014,NA
I already receive the newsletter,2015,1921.05
"No, I would not like to receive the newsletter",2012,500
I already receive the newsletter,2014,178.06
NA,2015,0
I already receive the newsletter,2015,50
NA,2016,NA
NA,2017,69.37
I already receive the newsletter,2015,1560.37
I already receive the newsletter,2009 or before,1536.84
I already receive the newsletter,2014,385.02
I already receive the newsletter,2017,200
NA,2014,200
I already receive the newsletter,2015,1040.24
I already receive the newsletter,2015,23141861.16
"No, I would not like to receive the newsletter",2017,1250
NA,2013,NA
I already receive the newsletter,2014,130.03
I already receive the newsletter,2016,5879.96
I already receive the newsletter,2014,3250.77
I already receive the newsletter,2013,1300.31
I already receive the newsletter,2014,16500
NA,2015,6501.53
NA,2014,NA
"Yes, sign me up",2013,231.24
NA,2012,NA
"No, I would not like to receive the newsletter",2017,NA
I already receive the newsletter,2017,1085.76
NA,2017,NA
"No, I would not like to receive the newsletter",2016,NA
NA,2015,NA
I already receive the newsletter,2018,0
I already receive the newsletter,2015,NA
"No, I would not like to receive the newsletter",2009 or before,125000
NA,2017,NA
I already receive the newsletter,2014,500
"No, I would not like to receive the newsletter",2017,901.04
I already receive the newsletter,2015,92.5
I already receive the newsletter,2014,135.16
I already receive the newsletter,2011,2652.62
I already receive the newsletter,2013,0
"No, I would not like to receive the newsletter",2015,2000
I already receive the newsletter,2015,115.62
I already receive the newsletter,2017,462.49
NA,2015,0
NA,2012,0
I already receive the newsletter,2018,195.05
I already receive the newsletter,2016,173.43
NA,2018,NA
NA,2016,NA
NA,2016,1950.46
I already receive the newsletter,2016,1271.85
I already receive the newsletter,2012,NA
I already receive the newsletter,2015,109.75
I already receive the newsletter,2015,218.93
"Yes, sign me up",2018,295.85
I already receive the newsletter,2012,74.93
"Yes, sign me up",2016,1923
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2016,156.04
I already receive the newsletter,2013,819647.89
"Yes, sign me up",2009 or before,1156.22
NA,2010,NA
I already receive the newsletter,2016,0
I already receive the newsletter,2015,3468.67
"Yes, sign me up",2014,2890.56
"No, I would not like to receive the newsletter",2016,0
NA,2009 or before,5781.11
I already receive the newsletter,2016,346.87
I already receive the newsletter,2015,1200
I already receive the newsletter,2013,0
I already receive the newsletter,2017,896.78
"Yes, sign me up",2017,6000
"Yes, sign me up",2013,81.53
"No, I would not like to receive the newsletter",2009 or before,6111.44
I already receive the newsletter,2016,138.75
"No, I would not like to receive the newsletter",2014,0
I already receive the newsletter,2017,0
I already receive the newsletter,2015,173.43
I already receive the newsletter,2009 or before,0
NA,2018,0
I already receive the newsletter,2015,271.78
"Yes, sign me up",2018,0
"No, I would not like to receive the newsletter",2009 or before,14500
I already receive the newsletter,2016,600
"No, I would not like to receive the newsletter",2017,53.99
I already receive the newsletter,2017,0
NA,2014,0
"Yes, sign me up",2017,40.77
I already receive the newsletter,2015,60000
"No, I would not like to receive the newsletter",I don't remember,7000
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2014,1200
I already receive the newsletter,2015,192.11
"No, I would not like to receive the newsletter",2011,17000
NA,2015,100
I already receive the newsletter,2015,500
NA,2017,NA
I already receive the newsletter,2018,1000
"No, I would not like to receive the newsletter",2010,15000
I already receive the newsletter,2015,4451.76
I already receive the newsletter,2014,500
I already receive the newsletter,2016,1479.23
NA,2018,NA
"No, I would not like to receive the newsletter",2012,25000
NA,2010,0
NA,2017,NA
NA,2016,NA
I already receive the newsletter,2014,0
I already receive the newsletter,2016,5970.93
"No, I would not like to receive the newsletter",2015,100
I already receive the newsletter,2012,35000
NA,2010,30000
NA,2017,3750
"Yes, sign me up",2017,150
I already receive the newsletter,2012,10000
I already receive the newsletter,2014,3600
I already receive the newsletter,2009 or before,0
I already receive the newsletter,2017,NA
NA,2012,NA
"Yes, sign me up",I don't remember,500
I already receive the newsletter,2017,7000
I already receive the newsletter,2015,44000
I already receive the newsletter,2013,2000
"No, I would not like to receive the newsletter",2018,0
"Yes, sign me up",2015,739.62
I already receive the newsletter,2015,325.08
I already receive the newsletter,2015,115.62
"No, I would not like to receive the newsletter",2017,NA
I already receive the newsletter,2015,0
I already receive the newsletter,2016,115.62
I already receive the newsletter,2017,1479.23
NA,2017,0
I already receive the newsletter,2011,4199
NA,2015,NA
I already receive the newsletter,2016,1156.22
"Yes, sign me up",2015,0
"No, I would not like to receive the newsletter",2014,2000
I already receive the newsletter,2011,500
"No, I would not like to receive the newsletter",2012,500
NA,2013,10000
I already receive the newsletter,2016,4000
I already receive the newsletter,2014,68722
I already receive the newsletter,2015,NA
NA,2013,2222
NA,2014,NA
"Yes, sign me up",2012,8093.56
I already receive the newsletter,2017,5662.83
I already receive the newsletter,2013,17737
"No, I would not like to receive the newsletter",2017,3900.92
NA,2017,NA
I already receive the newsletter,2014,739.62
"No, I would not like to receive the newsletter",2014,500
"No, I would not like to receive the newsletter",2018,NA
I already receive the newsletter,2016,2312.45
NA,2016,NA
I already receive the newsletter,2016,3000
NA,2015,1000
I already receive the newsletter,2017,5750
"Yes, sign me up",2009 or before,7000
"No, I would not like to receive the newsletter",2013,0
NA,2012,NA
NA,2010,NA
"No, I would not like to receive the newsletter",2016,3000
NA,2016,NA
NA,2013,NA
"No, I would not like to receive the newsletter",2009 or before,12000
I already receive the newsletter,2015,3500
NA,2015,390.09
I already receive the newsletter,2016,20425
"No, I would not like to receive the newsletter",2013,443.77
"Yes, sign me up",2016,271.78
I already receive the newsletter,2017,4000
I already receive the newsletter,2015,369.99
I already receive the newsletter,2012,1156.22
NA,2017,NA
I already receive the newsletter,2011,3225
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2012,25000
"No, I would not like to receive the newsletter",2017,NA
"No, I would not like to receive the newsletter",2015,NA
NA,2011,2000
"Yes, sign me up",2018,0
NA,2014,NA
I already receive the newsletter,2011,2023.53
I already receive the newsletter,2013,1000
"No, I would not like to receive the newsletter",2014,4000
I already receive the newsletter,2013,NA
I already receive the newsletter,2016,NA
"No, I would not like to receive the newsletter",2015,6300
I already receive the newsletter,2016,115.62
NA,2014,NA
I already receive the newsletter,2016,260.06
NA,2011,NA
NA,I don't remember,0
"No, I would not like to receive the newsletter",2014,NA
I already receive the newsletter,2010,2950
NA,2014,0
NA,2016,600
NA,I don't remember,5378.94
"No, I would not like to receive the newsletter",2014,2000
NA,2015,NA
NA,2015,650.15
NA,2012,1000
"No, I would not like to receive the newsletter",2013,40000
"No, I would not like to receive the newsletter",2015,1700
I already receive the newsletter,2017,200
I already receive the newsletter,2016,250
"Yes, sign me up",2018,768.42
I already receive the newsletter,2011,30698
I already receive the newsletter,2013,3720
"Yes, sign me up",2018,100
I already receive the newsletter,2012,40100
NA,2017,173.43
"No, I would not like to receive the newsletter",2013,100
NA,2011,NA
"No, I would not like to receive the newsletter",2016,100
"No, I would not like to receive the newsletter",2015,130.03
"Yes, sign me up",2015,2427.67
I already receive the newsletter,2011,10402.45
I already receive the newsletter,2014,289.06
"Yes, sign me up",2015,780.18
NA,2016,3631.53
I already receive the newsletter,2014,7450.75
I already receive the newsletter,2010,3e+06
"No, I would not like to receive the newsletter",2017,189.45
"Yes, sign me up",I don't remember,0
NA,2014,400
NA,2017,NA
I already receive the newsletter,2015,NA
NA,2016,NA
I already receive the newsletter,2015,NA
I already receive the newsletter,2014,573.43
"Yes, sign me up",2015,2000
I already receive the newsletter,2015,260.06
I already receive the newsletter,2014,3900.92
I already receive the newsletter,2016,0
I already receive the newsletter,2013,0
NA,2014,50
I already receive the newsletter,2014,650.15
I already receive the newsletter,2014,105000
"No, I would not like to receive the newsletter",2017,2312.45
"No, I would not like to receive the newsletter",2017,200
I already receive the newsletter,2017,0
NA,2013,5500
I already receive the newsletter,2017,3120.73
"No, I would not like to receive the newsletter",I don't remember,0
I already receive the newsletter,2014,1200
NA,2017,231.24
NA,2016,NA
I already receive the newsletter,2015,10026
I already receive the newsletter,2017,NA
"No, I would not like to receive the newsletter",2012,0
NA,2016,3000
NA,2015,39.01
NA,2017,NA
I already receive the newsletter,2017,115.62
I already receive the newsletter,2017,3200
I already receive the newsletter,2016,8000
"No, I would not like to receive the newsletter",2011,NA
"No, I would not like to receive the newsletter",2015,6000
"No, I would not like to receive the newsletter",2014,0
"No, I would not like to receive the newsletter",2012,4295
I already receive the newsletter,2014,39231.53
I already receive the newsletter,2016,NA
I already receive the newsletter,2014,7038.42
I already receive the newsletter,2016,60
"Yes, sign me up",2009 or before,1300.31
I already receive the newsletter,2016,346.87
I already receive the newsletter,2013,1152.63
"No, I would not like to receive the newsletter",2017,NA
"No, I would not like to receive the newsletter",2016,50
I already receive the newsletter,2011,2340.55
I already receive the newsletter,2014,300
"No, I would not like to receive the newsletter",2016,0
NA,2015,NA
I already receive the newsletter,2013,0
NA,2014,3000
I already receive the newsletter,2016,0
I already receive the newsletter,2016,NA
I already receive the newsletter,2012,990
"Yes, sign me up",2017,300
I already receive the newsletter,2017,923.22
NA,2015,300
I already receive the newsletter,2012,4811.13
"No, I would not like to receive the newsletter",2016,300
NA,2016,0
I already receive the newsletter,2014,10
I already receive the newsletter,2015,20
"Yes, sign me up",2012,4841.05
NA,2014,0
"No, I would not like to receive the newsletter",2018,NA
I already receive the newsletter,2017,289.06
I already receive the newsletter,2017,7600
I already receive the newsletter,2017,800
I already receive the newsletter,2015,3000
"No, I would not like to receive the newsletter",2016,55
I already receive the newsletter,2013,0
"No, I would not like to receive the newsletter",2010,20000
NA,NA,NA
I already receive the newsletter,2017,38.42
I already receive the newsletter,2015,260.06
I already receive the newsletter,2016,614.74
I already receive the newsletter,2014,6501.53
I already receive the newsletter,2015,17000
NA,2012,7100
I already receive the newsletter,2014,650.15
NA,2016,NA
NA,2015,NA
I already receive the newsletter,2014,7000
NA,2011,100
I already receive the newsletter,2016,27
NA,2013,NA
I already receive the newsletter,2009 or before,1000
NA,2016,NA
I already receive the newsletter,2009 or before,12000
NA,2017,200
I already receive the newsletter,2010,71000
"No, I would not like to receive the newsletter",2015,5000
"Yes, sign me up",2015,3000
NA,2013,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2015,1943.95
"Yes, sign me up",2016,3033.91
I already receive the newsletter,2015,0
"Yes, sign me up",2013,0
I already receive the newsletter,2011,25000
"No, I would not like to receive the newsletter",2014,NA
"No, I would not like to receive the newsletter",2017,2312.45
I already receive the newsletter,2014,NA
NA,2017,2600.61
"Yes, sign me up",2009 or before,NA
I already receive the newsletter,2016,384.21
I already receive the newsletter,2017,0
"Yes, sign me up",2018,0
"No, I would not like to receive the newsletter",2015,50
I already receive the newsletter,2016,1000
NA,2016,NA
I already receive the newsletter,2017,650.15
I already receive the newsletter,2017,0
I already receive the newsletter,2015,400
NA,2014,5000
I already receive the newsletter,2016,196.56
I already receive the newsletter,2016,25000
I already receive the newsletter,2013,3515
I already receive the newsletter,2016,150
"Yes, sign me up",2017,6433.98
NA,2013,NA
NA,I don't remember,NA
I already receive the newsletter,2012,33040
I already receive the newsletter,2015,0
